Код;Наименование;Уровень1;Уровень2;Уровень3;Цена;ЦенаСП;Количество;Поля свойств;Совместные покупки;Единица измерения;Картинка;Выводить на главной;Описание,,,,,,,,,,,,,,,,,,,,,,
Б0001471;Вентилятор осевой вытяжной с сеткой D 125 (ERA 5S);Import;Модульные системы вентиляции;;346,75;339,"45;1;;;""шт"";_MG_8088;0;",,,,,,,,,,,,,,,,,,,,
Б0001461;Решетка металлическая с москитной сеткой 300х300мм  (3030МЭ);Import;Модульные системы вентиляции;;217,55;212,"97;2;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,,
Б0001466;Решетка наклонная круглая D125,D50 (12РК);Import;Модульные системы вентиляции;;42,75;41,"40;8;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,
Б0001454;Решетка радиаторная коричневая 450х133мм (4513РПк);Import;Модульные системы вентиляции;;68,40;66,"24;1;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,,
Б0001455;Решетка радиаторная черная 450х133мм (4513РПч);Import;Модульные системы вентиляции;;54,15;52,"44;2;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,,
Б0001459;Решетка разъемн. с моск. сеткой 250х250мм,полистирол (2525Р ПС);Import;Модульные системы вентиляции;;74,10;72,"54;10;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,
Б0001456;Решетка с моск. сеткой 138х138мм,наклон.жалюзи полистирол (1313С ПС);Import;Модульные системы вентиляции;;28,50;27,"90;1;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,
Б0001457;Решетка с моск. сеткой 170х240мм,наклон.жалюзи полистирол(1724С ПС);Import;Модульные системы вентиляции;;31,35;30,"69;1;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,
Б0001458;Решетка с москитной сеткой 234х234мм,наклон.жалюзи (2323С);Import;Модульные системы вентиляции;;61,75;59,"80;3;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,
"Б0002650;Лобзик электрический GST 90 BE;Import;;;;;1;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,,,,
Б0000270;Пенополиэтилен Полифом 4 мм,шир. 1.5м;Import;;;57,95;56,"73;13;;;""пог.м"";sd_00048;0;",,,,,,,,,,,,,,,,,,,
Б0000874;Пенотерм 10мм,ЛФ   шир.1,2х15м;Import;;;4579,00;4482,"60;1;;;""рул"";;0;",,,,,,,,,,,,,,,,,,
Б0000268;Распил;Import;;;50,"00;;90;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,,,
"Б0003088;Шпингалет \Ликчел\ ЗТ-12-ОР цинк.;Import;;;;;14;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,,,,
Б0000925;Дождеприемник РР  300*300  4300;Водосточная система;Аквасток;;636,50;623,"10;1;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,,
